Monopoly,Hasbro,estrategia,2,8,No aplica
Ajedrez,Cayro,estrategia,2,2,No aplica
Adios Calavera,Tranjis Games,"estrategia, familiar",2,2,No aplica
Monopoly,Hasbro,familiar,2,8,No aplica
1942 USS Yorktown,Looping Games,"estrategia, familiar",1,4,No aplica
1987 Channel Tunnel,Looping Games ,"estrategia, familiar",2,2,No aplica
A las puertas de Loyang,Maldito Games,estrategia,1,4,No aplica
Adrenalina,Devir,estrategia,3,5,No aplica
Aether,Swandy Games,"estrategia, Juegos de cartas",2,4,No aplica
Agra,Maldito Games,"estrategia, Juegos de cartas",2,4,No aplica
Alien Artifacts,Portal Games,"estrategia, Juegos de cartas",2,5,No aplica
Alquimistas,Devir,"estrategia, Juegos de cartas",2,4,No aplica
Scrabble,Mattel,"estrategia, familiar",2,4,No aplica
Alquimistas: El Golem del Rey,Devir,extension,2,4,Alquimistas
Atiplano,Arrakis Games,estrategia,2,5,No aplica
Alubari,Gen x Games,"estrategia, familiar",1,5,No aplica
Anachrony,Maldito Games,estrategia,1,4,No aplica
Anachrony: Pack de comandante de exotrajes,Maldito Games,extension,1,4,Anachrony
Viaje en tren,Viaje en tren,estrategia,2,5,No aplica
Ataque,Hobby,estrategia,4,6,No aplica
Fantasma Blitz,Devir,"habilidad, familiar",2,8,No aplica
8 bit box,Devir,"familiar, habilidad",3,6,No aplica
Black Stories,Devir,Juegos de cartas,2,15,No aplica
Abluxxen ,Maldito Games,"familiar, Juegos de cartas",2,5,No aplica
Zumos Juices,Devir,Juegos de cartas,2,10,No aplica
"1,2,3! Ahora me ves",Devir,"familiar, Juegos de cartas",2,8,No aplica
Ludo,Toyng,familiar,2,4,No aplica
Connect 4,Hasbro,estrategia,2,2,No aplica
Destreza,Hasbro Gaming,habilidad,1,6,No aplica
Super Gimnasta,Hasbro Gaming,habilidad,1,4,No aplica
Potion Explosion,Edge,habilidad,2,4,No aplica
Operando,Hasbro Gaming,habilidad,1,4,No aplica
Jenga Bridge,Hasbro Gaming,habilidad,1,6,No aplica
El cuco kiko estrena nido,Haba,"habilidad, familiar",2,5,No aplica
Jenga Fortnite,Hasbro Gaming,habilidad,1,6,No aplica
Rhino Hero: Super Battle ,Hasbro,"habilidad, familiar",2,4,No aplica
Hippos Glotones,Hasbro Gaming,habilidad,2,4,No aplica
"Rushhour, escapa del atasco",Thinkfun,logica,1,1,No aplica
Catan: La leyenda de los conquistadores,Devir,extension,3,4,Catan
Catan: El auge de los incas,Devir,"estrategia, familiar",2,4,No aplica
Catan Historias: Colonos de America,Devir,"estrategia, familiar",3,4,No aplica
Catan: piratas y exploradores,Devir,extension,3,4,Catan
Monopoly,Hasbro,familiar,3,6,No aplica
Monopoly Chile,Hasbro,familiar,2,6,No aplica
Dixit ,Libellud,"habilidad, logica",2,6,No aplica 
La Canasta  ,Bicycle US Playing Card,"estrategia, habilidad, familiar, Juegos de cartas",2,4,No aplica
Monopoly,Hasbro,"estrategia, familiar",3,8,No aplica
Catan,Devir,"estrategia, familiar",3,4,No aplica
Throw throw burrito,Exploding Kittens,"familiar, Juegos de cartas",2,12,No aplica
Exploding Kittens,Exploding Kittens,"estrategia, Juegos de cartas",2,5,No aplica
